Session,Match Number,Venue,Date and Time,Winning Team,First Team,Second Team,Link
2023,MATCH 41,"MA Chidambaram Stadium, Chennai","APR, SUN 30 , 3:30 pm IST",PUNJAB KINGS WON BY 4 WICKETS,Chennai Super Kings 200/4 (20.0 OV),Punjab Kings 201/6 (20.0 OV ),https://www.iplt20.com/match/2023/896
2023,MATCH 40,"Arun Jaitley Stadium, Delhi","APR, SAT 29 , 7:30 pm IST",SUNRISERS HYDERABAD WON BY 9 RUNS,Delhi Capitals 188/6 (20.0 OV),Sunrisers Hyderabad 197/6 (20.0 OV ),https://www.iplt20.com/match/2023/895
2023,MATCH 39,"Eden Gardens, Kolkata","APR, SAT 29 , 3:30 pm IST",GUJARAT TITANS WON BY 7 WICKETS,Kolkata Knight Riders 179/7 (20.0 OV),Gujarat Titans 180/3 (17.5 OV ),https://www.iplt20.com/match/2023/894
2023,MATCH 38,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, FRI 28 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 56 RUNS,Punjab Kings 201 (19.5 OV),Lucknow Super Giants 257/5 (20.0 OV ),https://www.iplt20.com/match/2023/893
2023,MATCH 37,"Sawai Mansingh Stadium, Jaipur","APR, THU 27 , 7:30 pm IST",RAJASTHAN ROYALS WON BY 32 RUNS,Rajasthan Royals 202/5 (20.0 OV),Chennai Super Kings 170/6 (20.0 OV ),https://www.iplt20.com/match/2023/892
2023,MATCH 36,"M Chinnaswamy Stadium, Bengaluru","APR, WED 26 , 7:30 pm IST",KOLKATA KNIGHT RIDERS WON BY 21 RUNS,Royal Challengers Bengaluru 179/8 (20.0 OV),Kolkata Knight Riders 200/5 (20.0 OV ),https://www.iplt20.com/match/2023/891
2023,MATCH 35,"Narendra Modi Stadium, Ahmedabad","APR, TUE 25 , 7:30 pm IST",GUJARAT TITANS WON BY 55 RUNS,Gujarat Titans 207/6 (20.0 OV),Mumbai Indians 152/9 (20.0 OV ),https://www.iplt20.com/match/2023/890
2023,MATCH 34,"Rajiv Gandhi International Stadium, Hyderabad","APR, MON 24 , 7:30 pm IST",DELHI CAPITALS WON BY 7 RUNS,Sunrisers Hyderabad 137/6 (20.0 OV),Delhi Capitals 144/9 (20.0 OV ),https://www.iplt20.com/match/2023/889
2023,MATCH 33,"Eden Gardens, Kolkata","APR, SUN 23 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 49 RUNS,Kolkata Knight Riders 186/8 (20.0 OV),Chennai Super Kings 235/4 (20.0 OV ),https://www.iplt20.com/match/2023/888
2023,MATCH 32,"M Chinnaswamy Stadium, Bengaluru","APR, SUN 23 , 3:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 7 RUNS,Royal Challengers Bengaluru 189/9 (20.0 OV),Rajasthan Royals 182/6 (20.0 OV ),https://www.iplt20.com/match/2023/887
2023,MATCH 31,"Wankhede Stadium, Mumbai","APR, SAT 22 , 7:30 pm IST",PUNJAB KINGS WON BY 13 RUNS,Mumbai Indians 201/6 (20.0 OV),Punjab Kings 214/8 (20.0 OV ),https://www.iplt20.com/match/2023/886
2023,MATCH 30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","APR, SAT 22 , 3:30 pm IST",GUJARAT TITANS WON BY 7 RUNS,Lucknow Super Giants 128/7 (20.0 OV),Gujarat Titans 135/6 (20.0 OV ),https://www.iplt20.com/match/2023/885
2023,MATCH 29,"MA Chidambaram Stadium, Chennai","APR, FRI 21 , 7:30 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings 138/3 (18.4 OV),Sunrisers Hyderabad 134/7 (20.0 OV ),https://www.iplt20.com/match/2023/884
2023,MATCH 28,"Arun Jaitley Stadium, Delhi","APR, THU 20 , 7:30 pm IST",DELHI CAPITALS WON BY 4 WICKETS,Delhi Capitals 128/6 (19.2 OV),Kolkata Knight Riders 127 (20.0 OV ),https://www.iplt20.com/match/2023/883
2023,MATCH 27,"Punjab Cricket Association IS Bindra Stadium, Mohali","APR, THU 20 , 3:30 pm IST",ROYAL CHALLENGERS BENGALURU WON BY 24 RUNS,Punjab Kings 150 (18.2 OV),Royal Challengers Bengaluru 174/4 (20.0 OV ),https://www.iplt20.com/match/2023/882
2023,MATCH 26,"Sawai Mansingh Stadium, Jaipur","APR, WED 19 , 7:30 pm IST",LUCKNOW SUPER GIANTS WON BY 10 RUNS,Rajasthan Royals 144/6 (20.0 OV),Lucknow Super Giants 154/7 (20.0 OV ),https://www.iplt20.com/match/2023/881
